"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年4月27日","5,090.52","5,076.64","5,095.98","5,042.61","123.96K","0.26%"
"2021年4月26日","5,077.24","5,156.59","5,181.11","5,072.96","151.38K","-1.13%"
"2021年4月23日","5,135.45","5,088.83","5,149.98","5,086.49","122.06K","0.91%"
"2021年4月22日","5,089.24","5,114.28","5,119.22","5,067.14","121.17K","-0.19%"
"2021年4月21日","5,098.75","5,055.24","5,110.56","5,047.99","124.64K","0.30%"
"2021年4月20日","5,083.37","5,065.78","5,119.86","5,058.92","136.54K","-0.07%"
"2021年4月19日","5,087.02","4,966.41","5,088.21","4,940.75","154.77K","2.43%"
"2021年4月16日","4,966.18","4,966.90","4,979.17","4,917.96","111.24K","0.35%"
"2021年4月15日","4,948.97","4,969.91","4,969.91","4,900.30","108.83K","-0.64%"
"2021年4月14日","4,980.63","4,945.69","4,987.12","4,940.27","120.86K","0.83%"
"2021年4月13日","4,939.64","4,949.81","4,994.54","4,924.20","132.92K","-0.16%"
"2021年4月12日","4,947.75","5,026.98","5,045.60","4,933.01","152.64K","-1.74%"
"2021年4月9日","5,035.34","5,100.04","5,100.04","5,022.09","128.42K","-1.50%"
"2021年4月8日","5,112.21","5,078.26","5,129.13","5,062.07","141.77K","0.17%"
"2021年4月7日","5,103.74","5,141.66","5,141.66","5,065.19","145.76K","-0.71%"
"2021年4月6日","5,140.34","5,178.64","5,181.15","5,125.33","109.83K","-0.41%"
"2021年4月2日","5,161.56","5,129.85","5,169.83","5,116.35","127.00K","0.99%"
"2021年4月1日","5,110.78","5,059.94","5,115.43","5,056.87","120.33K","1.24%"
"2021年3月31日","5,048.36","5,085.95","5,085.95","5,015.61","141.34K","-0.91%"
"2021年3月30日","5,094.73","5,043.10","5,106.04","5,032.79","138.62K","0.95%"
"2021年3月29日","5,046.88","5,052.26","5,086.65","5,010.39","143.39K","0.18%"
"2021年3月26日","5,037.99","4,953.95","5,050.83","4,953.95","145.93K","2.27%"
"2021年3月25日","4,926.35","4,904.07","4,950.76","4,883.66","132.95K","-0.05%"
"2021年3月24日","4,928.69","4,985.40","5,024.33","4,919.89","159.39K","-1.61%"
"2021年3月23日","5,009.25","5,057.06","5,064.02","4,966.53","158.01K","-0.95%"
"2021年3月22日","5,057.15","5,008.40","5,071.34","4,996.54","167.40K","1.00%"
"2021年3月19日","5,007.09","5,068.53","5,089.92","4,980.76","164.18K","-2.62%"
"2021年3月18日","5,141.77","5,114.59","5,160.46","5,111.13","142.90K","0.80%"
"2021年3月17日","5,100.86","5,062.77","5,123.55","5,020.13","149.16K","0.42%"
"2021年3月16日","5,079.36","5,054.41","5,084.31","5,009.95","161.39K","0.87%"
"2021年3月15日","5,035.54","5,116.12","5,120.88","4,992.40","204.15K","-2.15%"
"2021年3月12日","5,146.38","5,153.67","5,153.67","5,086.82","201.02K","0.35%"
"2021年3月11日","5,128.22","5,024.56","5,138.41","5,020.58","189.60K","2.49%"
"2021年3月10日","5,003.61","5,047.06","5,055.28","4,981.62","169.93K","0.66%"
"2021年3月9日","4,971.00","5,066.15","5,094.31","4,917.91","230.71K","-2.15%"
"2021年3月8日","5,080.02","5,299.79","5,326.26","5,079.80","230.23K","-3.47%"
"2021年3月5日","5,262.80","5,191.97","5,307.82","5,174.25","202.63K","-0.34%"
"2021年3月4日","5,280.71","5,388.48","5,392.37","5,254.78","212.78K","-3.15%"
"2021年3月3日","5,452.21","5,327.35","5,452.40","5,316.48","194.71K","1.92%"
"2021年3月2日","5,349.63","5,453.28","5,454.97","5,305.05","196.51K","-1.28%"
"2021年3月1日","5,418.78","5,389.25","5,421.56","5,345.94","177.46K","1.54%"
"2021年2月26日","5,336.76","5,343.90","5,416.32","5,318.86","212.27K","-2.43%"
"2021年2月25日","5,469.56","5,494.47","5,527.63","5,444.16","230.74K","0.59%"
"2021年2月24日","5,437.57","5,591.48","5,598.83","5,379.73","225.43K","-2.55%"
"2021年2月23日","5,579.67","5,542.68","5,644.75","5,541.11","233.81K","-0.32%"
"2021年2月22日","5,597.33","5,785.51","5,785.51","5,597.33","282.12K","-3.14%"
"2021年2月19日","5,778.84","5,734.02","5,787.89","5,667.32","214.48K","0.18%"
"2021年2月18日","5,768.38","5,922.07","5,930.91","5,747.66","218.85K","-0.68%"
"2021年2月10日","5,807.72","5,709.68","5,823.42","5,707.33","170.17K","2.14%"
"2021年2月9日","5,686.25","5,584.17","5,686.25","5,555.05","164.89K","2.19%"
"2021年2月8日","5,564.56","5,506.14","5,576.49","5,479.85","164.03K","1.48%"
"2021年2月5日","5,483.41","5,494.70","5,550.77","5,477.65","189.70K","0.17%"
"2021年2月4日","5,473.95","5,453.98","5,510.05","5,411.57","180.58K","-0.21%"
"2021年2月3日","5,485.20","5,499.30","5,532.89","5,473.12","188.05K","-0.29%"
"2021年2月2日","5,501.09","5,429.70","5,503.21","5,411.52","165.21K","1.54%"
"2021年2月1日","5,417.65","5,356.85","5,422.30","5,342.05","166.31K","1.23%"
